tract,Community_Name,Beds Available,Unsheltered Homeless People,SOD
211320,Wilshire Center-Koreatown,0,8,-8
211410,Wilshire Center-Koreatown,0,8,-8
211420,Wilshire Center-Koreatown,0,2,-2
211500,Miracle Mile,0,9,-9
211701,Miracle Mile,0,3,-3
211703,Miracle Mile,0,8,-8
211704,Miracle Mile,0,9,-9
211802,Wilshire Center-Koreatown,0,41,-41
211803,Wilshire Center-Koreatown,0,7,-7
211804,Wilshire Center-Koreatown,0,13,-13
211910,Wilshire Center-Koreatown,0,3,-3
211921,Wilshire Center-Koreatown,0,23,-23
211922,Wilshire Center-Koreatown,0,4,-4
212101,Wilshire Center-Koreatown,0,11,-11
212102,Wilshire Center-Koreatown,0,7,-7
212202,Westlake,0,2,-2
212203,Westlake,0,14,-14
212204,Westlake,0,65,-65
212303,Wilshire Center-Koreatown,0,7,-7
212304,Wilshire Center-Koreatown,0,5,-5
212305,Wilshire Center-Koreatown,0,14,-14
212306,Wilshire Center-Koreatown,0,12,-12
212410,Wilshire Center-Koreatown,0,2,-2
212420,Wilshire Center-Koreatown,0,4,-4
212501,Wilshire Center-Koreatown,0,2,-2
212502,Wilshire Center-Koreatown,0,29,-29
212610,Miracle Mile,0,14,-14
212620,Miracle Mile,0,3,-3
212701,Miracle Mile,0,4,-4
212702,Miracle Mile,0,4,-4
212800,Miracle Mile,0,13,-13
212900,Miracle Mile,0,18,-18
213100,Miracle Mile,0,17,-17
213201,Wilshire Center-Koreatown,0,34,-34
213202,Miracle Mile,0,1,-1
213310,Pico Union,0,9,-9
213320,Pico Union,0,20,-20
213401,Westlake,0,7,-7
213402,Pico Union,0,5,-5
214000,Mid-City West,0,12,-12
214100,Miracle Mile,0,8,-8
214400,Mid-City West,0,15,-15
214501,Mid-City West,0,14,-14
214502,Mid-City West,0,3,-3
214503,Mid-City West,0,2,-2
214600,Mid-City West,0,8,-8
214700,Mid-City West,0,5,-5
214800,Mid-City West,0,7,-7
214901,Mid-City West,0,0,0
214902,Mid-City West,0,14,-14
215101,Mid-City West,0,12,-12
215102,Mid-City West,0,4,-4
216100,Miracle Mile,0,4,-4
216200,Mid-City West,0,3,-3
216300,Mid-City West,0,1,-1
216401,Palms,0,8,-8
216402,Palms,0,1,-1
216700,Miracle Mile,0,4,-4
216800,Miracle Mile,0,11,-11
216900,Miracle Mile,0,26,-26
217001,Palms,0,4,-4
217002,Palms,0,32,-32
217100,Miracle Mile,0,8,-8
217200,Miracle Mile,0,1,-1
218110,West Adams-Expo Park,17,23,-6
218120,West Adams-Expo Park,30,59,-29
218210,Mid City,0,4,-4
218220,Mid City,0,9,-9
218300,Mid City,0,24,-24
218400,Mid City,0,21,-21
218500,Mid City,26,12,14
218600,Mid City,0,2,-2
218701,West Adams-Expo Park,0,8,-8
218702,West Adams-Expo Park,0,14,-14
218800,West Adams-Expo Park,0,31,-31
218900,West Adams-Expo Park,0,29,-29
219010,West Adams-Expo Park,0,22,-22
219020,West Adams-Expo Park,0,46,-46
219300,West Adams-Expo Park,0,14,-14
219500,Adams-La Brea,0,26,-26
219700,Adams-La Brea,0,16,-16
219800,Adams-La Brea,0,25,-25
219901,Adams-La Brea,0,26,-26
219902,Adams-La Brea,0,15,-15
220000,Adams-La Brea,0,20,-20
220100,Adams-La Brea,0,5,-5
221110,Pico Union,0,14,-14
221120,Pico Union,0,6,-6
221210,West Adams-Expo Park,0,14,-14
221220,Pico Union,0,46,-46
221302,West Adams-Expo Park,0,52,-52
221303,West Adams-Expo Park,0,25,-25
221304,West Adams-Expo Park,0,2,-2
221401,West Adams-Expo Park,0,63,-63
221402,West Adams-Expo Park,0,2,-2
221500,Adams,0,14,-14
221601,Adams,0,21,-21
221602,Pico Union,0,26,-26
221710,Adams,0,21,-21
221810,Adams,0,20,-20
221820,Adams,0,1,-1
221900,Adams,0,2,-2
222001,Adams,0,12,-12
222002,Adams,0,23,-23
222100,Adams,0,31,-31
222200,Adams,0,12,-12
222500,Adams,0,6,-6
222600,Adams,0,6,-6
222700,Adams,0,102,-102
224010,Downtown Los Angeles,0,61,-61
224020,South Central,0,43,-43
224200,Pico Union,0,27,-27
224310,Pico Union,0,2,-2
224320,Pico Union,0,17,-17
224410,University Park,0,22,-22
224420,University Park,0,42,-42
224600,South Central,305,90,215
224700,University Park,0,62,-62
226001,Downtown Los Angeles,0,175,-175
226002,Downtown Los Angeles,97,493,-396
226410,South Central,0,22,-22
226420,South Central,0,14,-14
226700,South Central,0,31,-31
227010,South Central,0,38,-38
227020,South Central,0,2,-2
228100,South Central,0,36,-36
228210,South Central,0,5,-5
228220,Central Alameda,0,26,-26
228310,South Central,0,25,-25
228320,South Park,0,22,-22
228410,South Central,0,6,-6
228420,South Park,0,15,-15
228500,South Park,0,73,-73
228600,South Park,0,14,-14
228710,Central Alameda,0,21,-21
228720,Central Alameda,0,8,-8
228800,Central Alameda,0,47,-47
228900,Central Alameda,0,46,-46
229100,Central Alameda,0,108,-108
229200,South Park,0,25,-25
229300,South Park,0,12,-12
229410,South Park,0,39,-39
229420,South Park,0,17,-17
231100,South Central,431,284,147
231210,Adams,0,0,0
231220,Adams,192,30,162
231300,Adams,0,31,-31
231400,Adams,0,0,0
231500,Vermont Square,0,11,-11
231600,Vermont Square,22,21,1
231710,Vermont Square,0,78,-78
231720,Vermont Square,0,40,-40
231800,South Park,0,24,-24
231900,South Park,0,110,-110
232110,Vermont Square,0,26,-26
232120,Vermont Square,0,69,-69
232200,Vermont Square,0,13,-13
232300,Vermont Square,0,15,-15
232400,Vermont Square,59,46,13
232500,Vermont Square,87,22,65
232600,Vermont Square,0,6,-6
232700,Vermont Square,240,103,137
232800,South Park,0,98,-98
234000,Baldwin Hills / Crenshaw,0,8,-8
234200,Baldwin Hills / Crenshaw,0,38,-38
234300,Baldwin Hills / Crenshaw,0,74,-74
234501,Baldwin Hills / Crenshaw,0,13,-13
234502,Baldwin Hills / Crenshaw,35,18,17
234600,Baldwin Hills / Crenshaw,8,74,-66
234700,Baldwin Hills / Crenshaw,0,16,-16
234800,Baldwin Hills / Crenshaw,0,47,-47
234901,Baldwin Hills / Crenshaw,0,20,-20
234902,Baldwin Hills / Crenshaw,0,7,-7
235100,Baldwin Hills / Crenshaw,0,4,-4
235201,Baldwin Hills / Crenshaw,12,5,7
235202,Baldwin Hills / Crenshaw,0,14,-14
236000,Baldwin Hills / Crenshaw,0,4,-4
236100,Baldwin Hills / Crenshaw,0,20,-20
236202,Baldwin Hills / Crenshaw,0,29,-29
236203,Baldwin Hills / Crenshaw,0,9,-9
236204,Baldwin Hills / Crenshaw,0,6,-6
236400,Baldwin Hills / Crenshaw,0,0,0
237101,Vermont Square,0,12,-12
237102,Vermont Square,0,75,-75
237201,Vermont Square,0,42,-42
237202,Vermont Square,0,33,-33
237300,Vermont Square,80,30,50
237401,Vermont Square,0,18,-18
237402,Vermont Square,0,9,-9
237500,South Vermont,0,53,-53
237600,South Vermont,0,52,-52
237710,South Vermont,0,35,-35
237720,South Vermont,0,7,-7
237800,South Vermont,0,4,-4
237900,South Vermont,0,2,-2
238000,South Vermont,0,18,-18
